id,precio_unitario,total,producto_id,venta_id,promocion_id,cantidad
1,13990,13990,11,1,,1
2,7500,7500,17,1,,1
3,14990,14990,11,2,,1
4,13490,13490,22,3,,1
5,500,1000,34,4,,2
6,3900,3900,36,4,,1
7,3300,3300,16,5,,1
8,21990,21990,,5,25,1
9,3300,3300,16,6,,1
10,21990,21990,,6,25,1
11,500,2000,34,6,,4
12,3900,3900,36,6,,1
13,3900,3900,36,7,,1
14,5990,5990,,8,17,1
15,4500,4500,22,9,,1
16,11490,11490,18,10,,1
17,14990,14990,11,11,,1
18,11490,11490,18,12,,1
19,500,500,34,12,,1
20,7990,7990,17,13,,1
21,7900,7900,38,13,,1
22,21990,21990,,14,25,1
23,11490,11490,18,15,,1
24,3900,3900,36,16,,1
25,18990,18990,,17,19,1
26,5990,5990,,18,17,1
27,500,500,34,18,,1
28,14990,14990,11,19,,1
29,5990,5990,,20,17,1
30,7990,7990,17,21,,1
31,7900,7900,38,22,,1
32,7990,7990,17,23,,1
33,18990,18990,,24,19,1
34,18990,18990,,25,19,1
35,18990,18990,,26,19,1
36,14990,14990,11,27,,1
37,3300,3300,16,28,,1
38,18990,18990,,28,19,1
39,21990,43980,,29,25,2
40,7900,7900,38,29,,1
41,5990,5990,,30,17,1
42,4500,4500,22,30,,1
43,14990,14990,11,31,,1
44,18990,18990,,32,19,1
45,18990,18990,,33,19,1
46,18990,18990,,34,19,1
47,4800,4800,37,35,,1
48,11490,11490,18,36,,1
49,18990,18990,,37,19,1
50,21990,21990,,38,25,1
51,4500,4500,22,39,,1
52,2900,2900,35,40,,1
53,2900,2900,35,41,,1
54,5990,11980,,42,17,2
55,4800,4800,37,43,,1
56,21990,21990,,44,25,1
57,700,2100,39,44,,3
58,14990,14990,11,45,,1
59,700,2100,39,45,,3
60,18990,18990,,46,19,1
61,5990,5990,,47,17,1
62,21990,21990,,48,25,1
63,500,500,34,48,,1
64,7990,7990,17,49,,1
65,11490,11490,18,50,,1
66,21990,21990,,50,25,1
67,5990,5990,,51,17,1
68,5990,5990,,52,17,1
69,2900,2900,35,53,,1
70,4500,4500,22,54,,1
71,500,1000,34,54,,2
72,7990,7990,17,55,,1
73,4800,4800,37,55,,1
74,14990,14990,11,56,,1
75,5990,11980,,57,17,2
76,500,2000,34,57,,4
77,5990,11980,,58,17,2
78,500,1000,34,59,,2
79,23990,23990,21,60,,1
80,7990,7990,17,61,,1
81,4800,4800,37,61,,1
82,500,2000,34,62,,4
83,14990,14990,11,63,,1
84,500,500,34,64,,1
85,2900,2900,35,64,,1
86,500,500,34,65,,1
87,2900,2900,35,65,,1
88,700,700,,66,,1
89,14990,14990,11,67,,1
90,18990,18990,,68,19,1
91,5990,5990,,69,17,1
92,18990,18990,,70,19,1
93,7900,7900,38,71,,1
94,2900,2900,35,72,,1
95,5990,5990,,73,17,1
96,500,1000,34,74,,2
