id,descripcion,precio,imagen,is_active,categoria_id,item_id,eq_pollo
11,Pollo entero,14990,products/imagen_2025-11-19_193937454.png,0,2,1,1
12,Bebida lata,1300,products/imagen_2025-11-19_194020215.png,0,1,2,0
13,Bebida 1 1/2 litros,2300,products/imagen_2025-11-19_194033701.png,0,1,2,0
16,Bebida 3 litros,3300,products/imagen_2025-11-19_194133118.png,0,1,2,0
17,1/2 pollo,7990,products/imagen_2025-11-19_193956067.png,0,2,1,0.5
18,Monster energy,2200,products/imagen_2025-11-19_194143667.png,0,1,3,0
19,Redbull,2200,products/imagen_2025-11-19_194231384.png,0,1,3,0
22,1/4 pollo,4500,products/imagen_2025-11-19_194007702.png,0,2,1,0.25
24,Bebida 1/2,1400,products/imagen_2025-11-19_194514477.png,0,1,2,0
25,Vital chica,700,products/imagen_2025-11-19_194545932.png,0,1,3,0
26,Vital grande 1600 cc,1200,products/imagen_2025-11-19_194626068.png,0,1,3,0
27,Jugo boca ancha chico,1200,products/imagen_2025-11-19_194702056.png,0,1,3,0
28,Jugo botella grande 1.5,2200,products/imagen_2025-11-19_194759650.png,0,1,3,0
29,Score,1400,products/imagen_2025-11-19_194830764.png,0,1,3,0
30,Kapo,350,products/imagen_2025-11-19_194853694.png,0,1,3,0
31,Powerade,1500,products/imagen_2025-11-19_194942805.png,0,1,3,0
34,Salsa,500,products/imagen_2025-11-19_195058416.png,0,4,9,0
35,Papas normal,2900,products/imagen_2025-11-19_195109320.png,0,3,7,0
36,Papas mediana,3900,products/imagen_2025-11-19_195114702.png,0,3,7,0
37,Papas grande,4800,products/imagen_2025-11-19_195122162.png,0,3,7,0
38,Papas extragrande,7900,products/imagen_2025-11-19_195145860.png,0,3,7,0
39,Bebida express,700,products/imagen_2025-11-19_195239944.png,0,1,8,0
40,Bandeja pequeña,300,products/imagen_2025-11-19_202706915.png,0,4,10,0
41,Bandeja grande,500,products/imagen_2025-11-19_202731152.png,0,4,11,0
